,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
3248,You Got Yr. Cherry Bomb,Spoon,0.61,0.734,7,-6.193,1,0.0298,0.21,0.0,0.654,0.815,142.815,audio_features,188640,4
3249,You Gotta Move - 2009 Mix,The Rolling Stones,0.439,0.422,0,-8.384,1,0.0312,0.724,0.203,0.152,0.564,70.283,audio_features,152107,4
3250,You Know I'm No Good,Amy Winehouse,0.705,0.806,9,-3.607,1,0.0309,0.0132,0.00428,0.0701,0.734,103.383,audio_features,256947,4
3251,You Know My Name (Look Up The Number) - Anthology 2 Version,The Beatles,0.601,0.678,2,-8.618,1,0.117,0.601,2.95e-05,0.129,0.621,119.574,audio_features,343187,4
3252,You Know My Name (Look Up The Number) - Remastered 2009,The Beatles,0.672,0.529,2,-11.566,1,0.2,0.647,0.0,0.147,0.696,118.822,audio_features,259907,4
3253,You Know What To Do - Anthology 1 Version,The Beatles,0.579,0.463,9,-6.88,1,0.0345,0.712,0.0,0.119,0.701,82.77,audio_features,118693,4
3254,You Like Me Too Much - Remastered 2009,The Beatles,0.555,0.57,7,-7.869,1,0.0302,0.415,0.0,0.191,0.899,88.316,audio_features,156867,4
3255,You Look Good To Me,Fly Golden Eagle,0.409,0.674,11,-6.642,1,0.0421,0.0117,0.0025,0.274,0.75,192.121,audio_features,230080,4
3256,You Love Jazz Now,Justin Hurwitz,0.368,0.133,5,-22.986,1,0.0354,0.94,0.957,0.125,0.311,99.676,audio_features,50960,4
3257,You Never Can Tell - 1964 Single Version / Mono,Chuck Berry,0.585,0.704,7,-14.113,1,0.158,0.703,8.04e-05,0.31,0.886,157.298,audio_features,161453,4
3258,You Never Give Me Your Money - Remastered 2009,The Beatles,0.335,0.416,0,-11.051,1,0.0348,0.345,0.136,0.116,0.223,174.464,audio_features,242973,3
3259,You Only Live Once,The Strokes,0.63,0.907,11,-2.42,1,0.0326,0.0243,0.599,0.116,0.968,120.529,audio_features,189227,4
3260,You Really Got A Hold On Me - Anthology 1 Version,The Beatles,0.347,0.529,9,-7.708,1,0.0334,0.416,0.0,0.883,0.81,77.796,audio_features,178040,4
3261,You Really Got A Hold On Me - Remastered 2009,The Beatles,0.373,0.388,9,-9.31,1,0.0337,0.525,0.0,0.267,0.687,77.643,audio_features,181347,4
3262,You Remind Me Of You,Jack Johnson,0.769,0.159,11,-13.556,1,0.0369,0.95,0.0165,0.109,0.545,118.699,audio_features,144440,4
3263,You Talk Way Too Much,The Strokes,0.304,0.971,4,-3.226,1,0.0351,0.0594,0.955,0.0799,0.695,127.856,audio_features,186267,4
3264,You Talk Way Too Much,The Strokes,0.304,0.971,4,-3.226,1,0.0351,0.0594,0.955,0.0799,0.696,127.801,audio_features,186267,4
3265,You Want It Darker,Leonard Cohen,0.674,0.327,4,-16.986,0,0.0574,0.613,0.199,0.0756,0.494,108.995,audio_features,284373,4
3266,You Won't See Me - Remastered 2009,The Beatles,0.488,0.539,9,-8.752,1,0.0304,0.136,0.0,0.0538,0.473,115.941,audio_features,199960,4
3267,You'll Be Mine - Anthology 1 Version,The Beatles,0.418,0.524,5,-7.901,1,0.0506,0.989,0.936,0.131,0.616,89.585,audio_features,98960,3
3268,"You're Bored, I'm Old",Bahamas,0.781,0.438,0,-11.703,1,0.0327,0.889,0.00356,0.118,0.597,118.973,audio_features,160973,4
3269,You're Going To Lose That Girl - Remastered 2009,The Beatles,0.533,0.66,4,-7.694,1,0.0337,0.346,0.0,0.26,0.818,131.975,audio_features,138667,4
3270,You're So Right,The Strokes,0.441,0.863,2,-6.787,1,0.0363,0.000141,0.72,0.0775,0.328,168.089,audio_features,153760,4
3271,You're the One That I Want,Angus & Julia Stone,0.612,0.0666,5,-13.523,0,0.0371,0.87,0.0,0.112,0.326,80.524,audio_features,192000,4
3272,"You've Got a Friend in Me - From ""Toy Story""/Soundtrack Version",Randy Newman,0.689,0.333,0,-12.134,0,0.0307,0.817,5.13e-06,0.285,0.471,115.835,audio_features,124160,4
3273,You've Got To Hide Your Love Away - Take 5 / Anthology 2 Version,The Beatles,0.587,0.275,7,-10.634,1,0.0431,0.324,0.0,0.218,0.619,86.285,audio_features,164733,4
3274,You've Got To Hide Your Love Away - Remastered 2009,The Beatles,0.398,0.392,7,-9.05,1,0.0282,0.207,0.0,0.102,0.378,184.267,audio_features,129120,3
3275,Young Lion,Vampire Weekend,0.272,0.232,10,-11.018,1,0.0397,0.918,0.0236,0.113,0.377,180.314,audio_features,105360,3
3276,Young Lust,Pink Floyd,0.615,0.55,11,-13.858,0,0.0349,0.0546,0.191,0.747,0.549,95.485,audio_features,209957,4
3277,Your Better Self,WhoMadeWho,0.741,0.538,2,-7.733,0,0.0313,0.0484,0.0298,0.119,0.594,124.017,audio_features,234640,4
3278,Your Head Is On Fire,Broken Bells,0.28,0.782,4,-7.223,1,0.0428,0.0704,0.0732,0.0746,0.431,179.708,audio_features,182027,4
3279,Your Mother Should Know - Take 27 / Anthology 2 Version,The Beatles,0.677,0.676,7,-8.982,1,0.0446,0.724,4.16e-05,0.136,0.437,123.287,audio_features,182240,4
3280,Your Mother Should Know - Remastered 2009,The Beatles,0.698,0.293,0,-11.361,1,0.0332,0.784,0.0106,0.0936,0.724,117.613,audio_features,148413,4
3281,Your Sweet Touch,Bahamas,0.478,0.865,7,-4.381,1,0.0844,0.0965,0.0822,0.357,0.521,91.792,audio_features,232787,4
3282,Your Two Faces,George FitzGerald,0.582,0.827,7,-11.432,1,0.0344,0.0834,0.892,0.176,0.0345,122.016,audio_features,248560,4
3283,Youri,Les Trois Accords,0.562,0.836,1,-4.94,1,0.0431,0.0216,1.52e-05,0.117,0.647,158.316,audio_features,192667,4
3284,The Youth,MGMT,0.485,0.799,5,-5.886,1,0.029,0.122,0.0054,0.33,0.468,111.012,audio_features,228013,3
3285,Youth Without Youth,Metric,0.52,0.935,1,-4.543,0,0.197,0.000103,0.731,0.16,0.385,128.578,audio_features,257333,4
3286,Youth Without Youth - Acoustic,Metric,0.785,0.961,2,-4.22,1,0.0311,0.06,0.00154,0.0765,0.903,128.522,audio_features,233053,4
3287,"Zed's Dead Baby - Dialogue Excerpt From ""Pulp Fiction""",Maria De Medeiros,0.0,0.34,2,-17.387,1,0.0,0.754,0.0,0.881,0.0,0.0,audio_features,12333,0
3288,zenith,Ben Khan,0.634,0.589,1,-5.529,1,0.318,0.289,0.000114,0.0993,0.614,100.04,audio_features,162733,4
3289,Zodiac Shit,Flying Lotus,0.346,0.753,10,-4.606,0,0.273,0.0229,0.0641,0.3,0.184,79.275,audio_features,164640,4
3290,Zombies,Koriass,0.512,0.704,9,-6.391,1,0.288,0.0416,0.0,0.186,0.478,116.098,audio_features,218360,5
3291,____________,Fly Golden Eagle,0.44,0.236,11,-14.33,0,0.0301,0.935,0.92,0.136,0.166,119.7,audio_features,438200,4
3293,Sandstorm - Radio Edit,Darude,0.494,0.99,11,-4.928,0,0.0569,0.0936,0.989,0.088,0.657,136.363,audio_features,227493,4
3294,Funkytown - Single Version,Lipps Inc.,0.932,0.573,0,-8.329,1,0.0578,0.000543,0.248,0.111,0.186,122.872,audio_features,239827,4
3295,Frame of Mind,Tristam,0.435,0.727,1,-6.969,1,0.0611,0.0424,4.6e-06,0.105,0.399,174.992,audio_features,274286,4
3296,Sail,AWOLNATION,0.825,0.435,1,-9.582,1,0.0568,0.452,0.609,0.0953,0.243,119.038,audio_features,259102,4
3297,Yoshi City,Yung Lean,0.546,0.53,1,-9.059,1,0.211,0.476,0.0,0.0955,0.227,128.209,audio_features,225080,4
3298,Hoover,Yung Lean,0.399,0.849,10,-5.813,1,0.562,0.118,0.0,0.352,0.123,181.839,audio_features,160879,4
3299,Here I Go Again,Whitesnake,0.4,0.804,7,-6.916,1,0.0369,0.0869,7.11e-05,0.125,0.237,90.295,audio_features,274227,4
3300,Firestone,Kygo,0.486,0.652,11,-7.226,0,0.052,0.408,6.63e-05,0.077,0.391,113.055,audio_features,273684,4
3301,Nothing Left (feat. Will Heard),Kygo,0.679,0.576,4,-6.609,0,0.0402,0.261,0.000113,0.366,0.348,154.09,audio_features,236683,4
3302,Stole the Show,Kygo,0.679,0.662,8,-6.069,0,0.174,0.155,0.0,0.152,0.438,99.879,audio_features,222801,4
3303,War (feat. August+Us),Witness,0.795,0.558,9,-7.939,0,0.0312,0.118,0.0591,0.105,0.246,112.029,audio_features,209648,4
3304,Dancing Queen,ABBA,0.539,0.884,9,-6.53,1,0.0403,0.382,0.00166,0.76,0.752,100.812,audio_features,230693,4
3305,Gimme Shelter,The Rolling Stones,0.631,0.632,1,-8.227,0,0.031,0.484,0.0316,0.121,0.492,118.649,audio_features,270853,4
3306,What Is Love - Single Mix,Haddaway,0.683,0.764,7,-7.89,0,0.0315,0.0222,0.00932,0.263,0.738,123.873,audio_features,269000,4
3307,Sympathy For The Devil,The Rolling Stones,0.7,0.675,9,-10.956,1,0.241,0.578,0.0,0.0397,0.608,115.925,audio_features,377573,4
3308,Don't Worry Be Happy,Bobby McFerrin,0.681,0.163,11,-22.597,1,0.165,0.881,7.62e-05,0.0688,0.771,69.283,audio_features,292400,4
3309,Come and Get Your Love - Re-Record,Redbone,0.782,0.808,2,-8.374,1,0.0291,0.0298,0.0,0.161,0.971,104.983,audio_features,176592,4
3310,Thunderstruck,AC/DC,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,audio_features,292880,4
3311,Born to Be Alive,Patrick Hernandez,0.704,0.867,2,-5.808,1,0.0315,0.0846,0.0,0.206,0.809,131.467,audio_features,188133,4
3312,I Don't Care Anymore,Phil Collins,0.704,0.352,11,-11.909,1,0.0394,0.227,0.003,0.0797,0.535,140.11,audio_features,305413,4
3313,Love Generation,Generation DJ,0.708,0.946,1,-4.563,1,0.0505,0.0722,0.0292,0.113,0.765,128.041,audio_features,231067,4
3314,"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins,0.583,0.905,2,-6.132,1,0.0733,0.0984,0.00019,0.0593,0.646,173.982,audio_features,226827,4
3315,Crocodile Rock,Elton John,0.625,0.665,4,-11.681,0,0.0375,0.0786,1.37e-05,0.047,0.97,150.275,audio_features,235067,4
3316,Rappers Delight,DJ Jammin,0.931,0.696,11,-10.53,0,0.141,0.0173,3.62e-06,0.0281,0.964,109.99,audio_features,289579,4
3317,Right Behind You Baby,Ray Smith,0.611,0.847,9,-7.634,0,0.0613,0.766,2.03e-05,0.138,0.964,88.364,audio_features,143288,4
3318,The Wanderer,Dion,0.605,0.544,2,-11.37,1,0.0682,0.823,0.00579,0.338,0.797,115.779,audio_features,163627,4
3319,The Hustle,Van McCoy,0.611,0.89,5,-7.466,1,0.0659,0.0484,0.0954,0.0464,0.76,111.957,audio_features,226120,4
3320,The Safety Dance,Men Without Hats,0.779,0.742,5,-8.534,1,0.0368,0.0463,5.56e-05,0.157,0.286,100.2,audio_features,277480,4
3321,Remurdered,Mogwai,0.57,0.61,2,-10.88,1,0.0301,0.000261,0.738,0.106,0.214,114.009,audio_features,384555,4
3322,It's Time,Imagine Dragons,0.66,0.89,2,-4.769,1,0.0389,0.0214,0.0,0.103,0.827,105.003,audio_features,238467,4
3323,On Top Of The World,Imagine Dragons,0.635,0.926,0,-5.589,1,0.151,0.0893,4.53e-06,0.0928,0.761,100.048,audio_features,189840,4
3324,Tiptoe,Imagine Dragons,0.527,0.82,6,-5.855,1,0.0325,0.00157,1.88e-05,0.0882,0.25,120.041,audio_features,193000,4
3325,Warriors,Imagine Dragons,0.26,0.823,4,-6.216,0,0.069,0.0815,0.00223,0.204,0.307,78.772,audio_features,170067,4
3326,Dancing in the Moonlight,King Harvest,0.657,0.435,10,-15.707,1,0.0552,0.739,0.0,0.167,0.771,135.975,audio_features,181133,4
3327,How You Like Me Now,The Heavy,0.647,0.71,0,-4.692,1,0.029,0.000973,0.703,0.0777,0.268,110.059,audio_features,217493,4
3328,Stayin' Alive - Remastered Version,Bee Gees,0.675,0.899,10,-6.124,0,0.0418,0.0696,0.000139,0.33,0.91,103.683,audio_features,285200,4
3329,Night Fever - 2007 Remastered Version Saturday Night Fever,Bee Gees,0.729,0.794,1,-7.208,0,0.0249,0.0245,0.00125,0.0897,0.896,109.123,audio_features,213400,4
3330,Pompeii,Bastille,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,audio_features,214148,4
3331,Message In A Bottle - Remastered 2003,The Police,0.582,0.81,1,-7.024,0,0.0396,0.0338,1.68e-05,0.202,0.875,151.006,audio_features,290280,4
3332,Kyoto (prod. Yung Gud),Yung Lean,0.623,0.716,11,-7.449,0,0.207,0.22,2.54e-06,0.113,0.203,116.914,audio_features,270000,4
3333,Jailhouse Rock,Elvis Presley,0.647,0.582,10,-9.538,0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,audio_features,146480,4
3334,La La La,Naughty Boy,0.772,0.65,6,-5.202,0,0.0306,0.107,1.13e-06,0.0905,0.262,125.082,audio_features,222200,4
3335,Blessings,Big Sean,0.79,0.621,1,-7.634,1,0.275,0.333,0.0,0.122,0.15,118.895,audio_features,252040,4
3336,Could You Be Loved,Bob Marley & The Wailers,0.913,0.724,0,-8.527,1,0.105,0.372,0.000201,0.0824,0.748,103.33,audio_features,237133,4
3337,"Get Up, Stand Up",The Wailers,0.797,0.574,10,-7.268,1,0.373,0.229,0.0,0.0602,0.814,78.183,audio_features,197573,4
3338,Three Little Birds,Bob Marley & The Wailers,0.781,0.478,9,-10.54,1,0.0855,0.0109,1.01e-06,0.0399,0.643,73.962,audio_features,180533,4
3339,Buffalo Soldier,Bob Marley & The Wailers,0.928,0.464,9,-8.56,1,0.27,0.172,7.16e-06,0.0546,0.762,124.081,audio_features,256600,4
3340,Maniac,The Magic Time Travelers,0.659,0.628,3,-11.546,0,0.0498,0.292,0.123,0.0766,0.842,157.35,audio_features,255647,4
3341,I Was Made For Lovin' You,KISS,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,audio_features,271240,4
3342,Back In Black,AC/DC,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,audio_features,255493,4
3343,Disconnected,Pegboard Nerds,0.713,0.891,9,-5.724,0,0.0352,0.000513,0.0688,0.0687,0.365,127.977,audio_features,241875,4
3344,Car Radio,Twenty One Pilots,0.766,0.519,9,-7.355,0,0.0366,0.098,0.0,0.0855,0.612,129.972,audio_features,267720,4
3345,"Money, Money, Money",ABBA,0.782,0.692,9,-6.86,0,0.0367,0.524,0.00163,0.105,0.704,120.762,audio_features,186507,4
3346,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,0.747,0.492,10,-9.616,1,0.04,0.0163,0.00897,0.224,0.533,119.531,audio_features,292571,4
3347,Crazy Girl,Half Pint,0.685,0.566,6,-11.326,0,0.355,0.0021,0.0,0.104,0.514,171.51,audio_features,232827,4
3348,Red Red Wine,UB40,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,audio_features,183733,4
3349,"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins,0.544,0.897,3,-6.056,0,0.0471,0.241,0.0,0.13,0.647,157.17,audio_features,215133,4
3350,Hollywood,RAC,0.945,0.546,8,-6.109,1,0.0519,0.119,0.000519,0.121,0.962,120.004,audio_features,197467,4
3351,Reality - Radio Edit,Lost Frequencies,0.731,0.639,9,-6.597,1,0.0359,0.0206,1.29e-05,0.0789,0.527,122.08,audio_features,158474,4
3352,I Love to Love,Tina Charles,0.687,0.752,9,-7.331,1,0.0548,0.107,6.82e-05,0.474,0.886,99.207,audio_features,183573,4
3353,Wake-Up Call,Dead Obies,0.715,0.676,10,-6.865,0,0.107,0.351,1.38e-05,0.382,0.382,98.034,audio_features,341973,4
3354,Hit Me With Your Best Shot - 1999 Digital Remaster,Pat Benatar,0.715,0.702,4,-6.055,1,0.0296,0.109,7.73e-06,0.255,0.954,127.446,audio_features,171293,4
3355,I Ran (So Far Away),A Flock Of Seagulls,0.514,0.639,2,-12.348,1,0.0358,0.000364,0.895,0.136,0.661,145.499,audio_features,219933,4
3356,Summer Of '69,Bryan Adams,0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131,audio_features,216053,4
3357,Up and Away,Can't Stop Won't Stop,0.663,0.876,10,-4.573,0,0.161,0.00719,1.2e-06,0.0958,0.715,103.976,audio_features,203656,4
3358,Fireflies,Owl City,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114,audio_features,228347,4
3359,Waves - Robin Schulz Radio Edit,Mr. Probz,0.829,0.51,5,-9.334,0,0.0369,0.00821,0.0014,0.0829,0.45,119.993,audio_features,208133,4
3360,Don't Wanna Fight,Alabama Shakes,0.597,0.915,10,-3.298,0,0.152,0.235,0.0865,0.106,0.555,100.444,audio_features,232530,4
3361,Let's Dance - 2002 Remaster,David Bowie,0.653,0.703,10,-7.7,0,0.0459,0.00639,0.0119,0.137,0.778,114.701,audio_features,245427,4
3362,Every Breath You Take,The Police,0.827,0.454,1,-9.737,1,0.0346,0.564,0.00353,0.0734,0.738,117.397,audio_features,251333,4
3363,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,216933,4
3364,Everlong,Foo Fighters,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,audio_features,250547,4
3365,Free,UnchainD,0.588,0.692,0,-8.252,1,0.0313,1.74e-05,0.00399,0.11,0.37,103.455,audio_features,264853,4
3366,Death of a Bachelor,Panic! At The Disco,0.462,0.538,0,-5.527,1,0.059,0.0137,0.0,0.429,0.405,139.256,audio_features,203507,4
3367,Africa,TOTO,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,audio_features,295893,4
3368,Ice Age - deadmau5 Remix,How To Destroy Angels,0.748,0.562,2,-7.576,1,0.0493,0.593,0.0211,0.0966,0.767,146.062,audio_features,411512,4
3369,No Money,Galantis,0.671,0.916,6,-4.014,0,0.0397,0.0282,0.00762,0.24,0.803,126.01,audio_features,189127,4
3370,Seven Nation Army,The White Stripes,0.75,0.462,0,-7.664,1,0.0779,0.00576,0.545,0.307,0.309,123.865,audio_features,231800,4
3371,7 Years,Lukas Graham,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,audio_features,237300,4
3372,Falling - Duke Dumont Remix,HAIM,0.629,0.594,2,-10.838,1,0.0432,0.00165,0.0864,0.104,0.138,118.0,audio_features,334080,4
3373,You're With Me,UnchainD,0.482,0.443,4,-8.622,1,0.0276,0.0186,0.000345,0.11,0.131,144.962,audio_features,293547,4
3374,We Are Young (feat. Janelle Monáe),fun.,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,audio_features,250627,4
3375,Self Control,Laura Branigan,0.814,0.686,6,-12.172,0,0.0342,0.219,0.00382,0.155,0.778,106.679,audio_features,246440,4
3376,Welcome to My Life,Simple Plan,0.421,0.858,1,-4.535,1,0.0963,0.0134,0.0,0.067,0.491,173.255,audio_features,206773,4
3377,Some Nights,fun.,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,audio_features,277040,4
3378,Take Me Away,UnchainD,0.529,0.466,0,-8.652,1,0.0269,0.00362,0.0126,0.0988,0.187,81.199,audio_features,200800,4
3379,Here With Me,UnchainD,0.395,0.707,5,-7.984,1,0.0293,4.08e-05,0.0038,0.329,0.369,175.07,audio_features,229120,4
3380,Welcome To The Jungle,Guns N' Roses,0.445,0.955,8,-8.027,1,0.0856,0.0326,0.284,0.317,0.336,123.343,audio_features,273600,4
3381,Can't Take My Eyes off You,Frankie Valli,0.581,0.78,4,-7.053,1,0.0567,0.508,1.07e-05,0.0799,0.561,123.711,audio_features,203680,4
3382,Tell Me Why,UnchainD,0.521,0.558,4,-7.872,0,0.0265,0.000604,0.000533,0.0622,0.267,144.975,audio_features,263173,4
3383,Ca Fait Rire Les Oiseaux,La Compagnie Créole,0.713,0.906,5,-5.801,1,0.0423,0.327,0.0,0.427,0.926,124.424,audio_features,222240,4
3384,Shikulu,African National Church In Zambia Angels Church Choir Chiyanga Branch Nakonde,0.528,0.236,5,-4.966,1,0.0344,0.811,0.0,0.129,0.699,100.447,audio_features,150640,4
3385,Ocean Drive,Duke Dumont,0.686,0.718,8,-5.054,0,0.0431,0.00637,0.000703,0.119,0.557,115.026,audio_features,206320,4
3386,Don't Let Me Down - Remastered,The Beatles,0.593,0.289,4,-11.049,1,0.0259,0.568,0.000829,0.0928,0.733,77.119,audio_features,215733,4
3387,Ma p'tite poupoune,Shilvi,0.703,0.268,9,-10.518,0,0.0349,0.908,0.000142,0.102,0.48,102.074,audio_features,180227,4
3388,Monter,Shilvi,0.821,0.232,8,-9.111,1,0.0447,0.959,0.0,0.132,0.706,128.228,audio_features,97840,4
3389,Si c'est...,Shilvi,0.79,0.393,4,-8.871,1,0.0359,0.641,0.0,0.125,0.805,107.987,audio_features,133627,1
3390,Quand le ciel pleure,Shilvi,0.634,0.182,2,-12.313,1,0.0263,0.923,1.26e-06,0.103,0.441,95.925,audio_features,123467,4
3391,Sur la bosse à nova,Shilvi,0.563,0.59,9,-8.623,1,0.0362,0.487,9.96e-05,0.128,0.888,167.994,audio_features,240373,4
3392,Un petit poussin,Shilvi,0.643,0.358,0,-10.995,1,0.504,0.95,6.54e-05,0.0943,0.395,137.968,audio_features,49200,4
3393,La nuit noire des citrouilles,Shilvi,0.733,0.482,6,-9.118,0,0.0382,0.819,0.000551,0.123,0.761,106.966,audio_features,161267,4
3394,Le matin matine,Shilvi,0.805,0.208,11,-9.915,1,0.035,0.75,0.0,0.118,0.691,110.023,audio_features,120760,4
3395,Le bébé robot,Shilvi,0.837,0.595,7,-11.97,1,0.0983,0.786,0.00203,0.0824,0.72,159.97,audio_features,94307,4
3396,Qui fait quoi ?,Shilvi,0.877,0.362,4,-8.867,1,0.0464,0.923,3.51e-06,0.194,0.852,117.862,audio_features,99067,4
3397,Maman,Shilvi,0.745,0.282,0,-8.554,1,0.0324,0.656,0.0,0.0956,0.51,108.014,audio_features,221733,3
3398,A cheval sur un cheveux,Shilvi,0.894,0.3,4,-9.113,1,0.0928,0.9,0.00129,0.0688,0.964,86.981,audio_features,90667,4
3399,Quand la terre,Shilvi,0.742,0.409,0,-11.755,0,0.118,0.969,0.0798,0.0755,0.244,89.351,audio_features,32467,4
3400,Les merveilles au monde,Shilvi,0.778,0.379,0,-8.514,1,0.0309,0.906,0.00016,0.0748,0.926,114.004,audio_features,154867,4
3401,Le gros éléphant,Shilvi,0.894,0.384,4,-12.462,1,0.0902,0.983,0.00204,0.106,0.771,90.897,audio_features,52400,4
3402,Popo,Shilvi,0.448,0.0573,3,-16.864,1,0.0652,0.989,0.0241,0.121,0.751,208.534,audio_features,129627,4
3403,C'est la nuit,Shilvi,0.728,0.101,0,-15.719,1,0.053,0.981,0.0023,0.067,0.199,95.97,audio_features,138000,4
3404,La chanson des moutons,Shilvi,0.554,0.0641,9,-18.6,1,0.0346,0.946,0.00202,0.115,0.203,88.487,audio_features,205533,3
3405,La Vie En Rose - Single Version,Louis Armstrong,0.568,0.122,0,-10.547,1,0.0702,0.826,0.00136,0.0755,0.325,70.775,audio_features,205973,4
3406,Sneakin’,Drake,0.806,0.558,8,-6.538,1,0.172,0.00496,1.45e-06,0.16,0.26,85.011,audio_features,251333,4
3407,I Heard It Through The Grapevine - Single Version (Mono),Marvin Gaye,0.735,0.52,11,-6.18,1,0.0371,0.255,0.0,0.106,0.688,118.441,audio_features,193493,4
3408,Shine On,Shoutdown,0.311,0.686,8,-11.792,1,0.0688,5.02e-05,0.000341,0.311,0.333,119.967,audio_features,202105,4
3409,Toes,Glass Animals,0.639,0.347,1,-12.322,0,0.0421,0.406,0.000268,0.215,0.247,72.978,audio_features,254640,4
3410,Loser,Beck,0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,audio_features,235000,4
3411,"Yoshimi Battles the Pink Robots, Pt. 1",The Flaming Lips,0.555,0.902,0,-7.918,1,0.0958,0.337,0.0,0.152,0.62,156.108,audio_features,287507,4
3412,It's Real,Real Estate,0.419,0.856,2,-5.443,1,0.0298,0.00928,0.0964,0.124,0.721,152.009,audio_features,168493,4
3413,Baby,Ariel Pink,0.622,0.253,2,-14.36,1,0.0331,0.435,0.471,0.0941,0.336,92.584,audio_features,287427,4
3414,Young Bodies,Sea Wolf,0.694,0.237,5,-16.391,1,0.0413,0.938,0.296,0.109,0.331,136.866,audio_features,209267,4
3415,Cedarsmoke,Sea Wolf,0.168,0.368,2,-17.304,0,0.0608,0.77,0.938,0.312,0.372,85.377,audio_features,214093,5
3416,Two Fingers,Jake Bugg,0.486,0.677,5,-5.227,1,0.0314,0.00252,0.0,0.102,0.913,120.576,audio_features,195987,4
3417,Mountain at My Gates,Foals,0.495,0.931,2,-5.336,0,0.0469,0.0025,0.0783,0.246,0.617,104.05,audio_features,244293,4
3418,From Nowhere,Dan Croll,0.628,0.883,8,-5.578,0,0.14,0.0316,0.000106,0.0622,0.658,87.91,audio_features,196849,4
3419,Two Weeks,Grizzly Bear,0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,audio_features,243160,4
3420,Foreground,Grizzly Bear,0.469,0.224,11,-13.732,0,0.0331,0.938,0.112,0.137,0.0848,78.411,audio_features,215373,4
3421,Space Song,Beach House,0.508,0.788,0,-7.288,0,0.0296,0.233,0.13,0.144,0.586,147.06,audio_features,320467,4
3422,Boys Life,Small Black,0.582,0.734,6,-6.987,0,0.0675,0.00727,0.202,0.76,0.644,127.071,audio_features,302120,4
3423,Golden Haze,Wild Nothing,0.423,0.924,8,-5.119,1,0.035,0.0178,0.676,0.0989,0.547,77.521,audio_features,205911,4
3424,We Can't Be Friends,Dream Koala,0.576,0.283,2,-13.004,1,0.039,0.897,0.892,0.0841,0.252,119.277,audio_features,208452,4
3425,Swim Good,Frank Ocean,0.653,0.668,0,-8.183,1,0.0881,0.00116,0.00269,0.0731,0.711,160.048,audio_features,257187,4
3426,Gooey,Glass Animals,0.487,0.369,11,-13.424,0,0.0406,0.736,3.75e-05,0.0925,0.106,183.114,audio_features,289307,4
3427,You Haunt Me - Amtrac Remix,Sir Sly,0.552,0.481,5,-8.901,1,0.031,0.269,0.421,0.27,0.127,150.002,audio_features,269133,4
3428,Fears,MTNS,0.684,0.434,4,-12.09,1,0.0346,0.123,0.183,0.113,0.173,139.986,audio_features,257669,4
3429,I Heard,Young Fathers,0.702,0.691,8,-3.979,1,0.0285,0.125,0.000114,0.302,0.315,115.873,audio_features,222787,4
3430,Outro,M83,0.226,0.261,2,-11.276,1,0.0339,0.0301,0.0677,0.0628,0.084,108.915,audio_features,247027,4
3431,Intro,The xx,0.617,0.778,9,-8.871,0,0.027,0.459,0.925,0.128,0.152,100.363,audio_features,127920,4
3432,How We Feel,Panama,0.657,0.853,0,-8.36,1,0.118,0.183,0.00014,0.109,0.22,109.88,audio_features,243360,4
3433,One Time,Marian Hill,0.843,0.244,9,-12.34,0,0.457,0.289,0.0,0.19,0.519,159.836,audio_features,217613,4
3434,Teenage Girl,Cherry Glazerr,0.51,0.441,7,-7.946,1,0.0344,0.771,0.0295,0.244,0.113,111.966,audio_features,107183,4
3435,Carousel,Melanie Martinez,0.739,0.661,1,-5.35,1,0.0764,0.0958,1.88e-05,0.0848,0.333,76.999,audio_features,230160,4
